@relation train

@attribute p1 numeric
@attribute p2 numeric
@attribute p3 numeric
@attribute p4 numeric
@attribute p5 numeric
@attribute p6 numeric
@attribute p7 numeric
@attribute p8 numeric
@attribute p9 numeric
@attribute p10 numeric
@attribute p11 numeric
@attribute p12 numeric
@attribute p13 numeric
@attribute p14 numeric
@attribute p15 numeric
@attribute p16 numeric
@attribute p17 numeric
@attribute p18 numeric
@attribute p19 numeric
@attribute p20 numeric
@attribute p21 numeric
@attribute r {TRUE,FALSE}

@data
-0.224659,-1.680307,-1.315143,-1.245467,1.713832,0.197992,-1.200016,-1.975632,-0.028228,2.3649,-0.737308,-0.765917,-0.617457,2.459432,-2.051633,0.514796,0.673416,-0.70382,-3.339517,-0.1677,0.104731,TRUE
0.557037,-0.09022,-0.640635,-0.844552,0.34285,-1.753718,-0.964567,-1.202441,-0.78524,0.667687,0.73674,-1.021941,0.415321,0.202768,-1.946584,-0.962496,0.159513,-0.288943,0.696298,4.916897,-1.746306,FALSE
-0.43492,-1.188662,-0.229493,-1.350718,0.406556,0.392193,-1.555858,-1.504076,-0.276735,3.133176,-0.243334,-0.189728,0.066134,0.5847,-1.651591,0.042956,0.115989,-1.181618,-1.390875,-0.631971,0.274476,TRUE
1.62377,0.732223,-0.37857,-1.635594,2.573723,-1.697324,-0.983305,0.051837,-0.111389,-0.485288,0.458601,-1.782332,0.446385,-0.300582,1.000407,-0.648333,-0.899761,-0.792549,-0.698368,0.892309,-0.012527,FALSE
1.090842,2.395179,0.107731,-1.172075,0.247251,-1.290198,-2.09656,-0.205944,-0.23606,-1.075254,-1.995722,-1.164884,4.718756,-1.1932,3.592754,-1.443431,0.456104,0.514044,-3.124504,0.794649,-0.671429,FALSE
0.474261,-2.687397,-1.49248,0.525353,-0.11077,-0.219124,-1.648479,-1.780429,-0.41271,-0.542935,-1.274764,-1.1415,-0.777368,-1.209715,-1.015444,4.82345,7.416876,-0.346799,-1.703696,-0.997535,0.630642,TRUE
10.69714,1.137401,-0.980686,-1.288981,0.17415,-0.110426,-1.095799,-0.594542,-0.734454,-1.113451,-0.469674,-0.416927,-1.038573,-0.102122,-0.714661,-0.541306,-1.565159,-0.183048,-1.474629,-1.460093,-0.766588,FALSE
-0.332022,0.048157,0.990309,0.40296,0.550089,-0.850135,0.130663,-1.757091,-0.462423,0.410908,1.619086,-2.219648,0.530624,-0.1261,-1.842271,-1.108158,0.43107,-1.845269,0.060489,1.633546,-0.050666,FALSE
2.000016,0.48633,1.098008,2.238175,2.207241,-1.527641,-0.067604,-0.755248,-0.994682,-0.201987,0.66812,-1.141003,0.053454,0.168496,-2.33668,-2.158721,-1.150943,-1.268077,-1.159322,0.223816,-1.298543,FALSE
3.238943,2.384388,-0.512935,-1.708277,0.966816,0.202365,-1.514789,-0.597662,-1.211842,-0.499613,-1.223675,-0.563195,-0.596711,-0.308399,1.367287,-0.069716,-0.260629,-1.90318,1.268036,-0.335889,-0.511567,TRUE
-0.639453,-0.639894,-0.04959,1.958399,0.942593,-1.52335,-0.928057,0.310647,-0.119585,0.485774,1.280394,-0.332216,-0.686858,-0.27933,-1.66379,-1.043053,-0.290352,-1.299289,-0.80883,1.17969,-0.574339,FALSE
-1.345017,-0.706843,1.043667,-0.389514,-0.367479,-1.784233,-0.826186,-0.158428,1.091605,1.781603,-0.315245,-1.091521,0.866477,-0.649382,-2.603065,-1.083132,-0.792465,-1.847748,0.491007,3.049094,0.615768,TRUE
1.195424,6.591236,-0.763217,-0.470139,0.988964,0.303626,-1.235706,-0.757894,-2.706455,-0.544856,-0.055986,1.670609,-0.329001,2.112627,-2.329748,-1.211489,-0.915527,-2.460334,-0.898361,0.119192,-2.531325,TRUE
0.52503,-0.2049,-0.37605,0.668586,-0.42643,-1.20923,-1.068202,-1.737512,-0.024446,0.261712,-0.127559,-0.00241,-0.65548,-0.133434,0.025589,1.260747,2.093804,-0.436155,-1.478745,-0.394106,0.041508,TRUE
-0.026058,-0.810795,-0.040667,-0.844421,1.718942,-0.449457,0.284783,2.71846,-2.03737,0.07989,0.015872,-1.627039,-0.425547,-0.637343,0.116866,-0.594229,0.487317,-0.833786,-0.26724,0.350757,-0.204188,FALSE
0.727381,-0.995317,-0.957043,-1.818504,2.024485,-0.263617,-1.15859,-0.858135,-1.833031,0.83136,0.294176,-1.053668,0.201422,0.305601,-0.935717,-0.084135,0.326877,-0.953533,-0.560975,1.797148,0.118337,FALSE
-0.5308,-0.414506,2.711786,-0.011699,-0.375463,-2.090605,-0.727573,-0.766421,1.995062,0.924522,3.382256,-2.404425,0.153198,-0.774501,-3.339657,-2.401798,-0.828461,-2.108425,-0.395775,4.985334,-0.772545,FALSE
-0.119645,-1.316612,2.259259,-0.254651,0.574943,-1.516258,1.094053,1.055122,0.959861,-0.595395,0.760273,-2.415456,-0.133189,-0.646767,-1.828753,-2.44035,-2.369763,-0.255358,-0.292883,0.759404,4.128533,FALSE
-0.062743,4.414157,1.809931,-0.241323,0.75327,-2.671276,-0.295937,-2.037475,-0.98998,1.303691,2.152645,-3.099158,-0.660781,-1.542457,1.163753,-1.271056,0.477472,-2.383567,-0.230592,3.056366,-0.432167,FALSE
0.690003,-1.242822,-0.736127,-0.661915,0.672936,-0.751697,-1.403287,-1.570169,-0.758362,0.6649,-1.059125,-0.133872,0.408022,1.503813,-0.043313,0.288093,1.489001,-0.840065,-1.257645,-1.075649,0.391909,TRUE
4.64579,2.091605,-1.257136,-1.104859,1.861446,0.047412,-1.232677,-1.871533,-0.341244,-1.013257,-1.82196,-0.170237,0.615505,-0.084379,0.081268,-0.155606,0.244647,-0.938742,-2.249293,-0.632038,-0.681335,FALSE
-0.41661,-1.324977,-0.05914,0.541985,0.287224,-2.102578,-0.810882,0.903748,-0.508512,2.262807,2.263937,-1.748227,-0.004738,-0.784094,-0.851863,-2.118627,-0.04324,-2.782409,1.179141,2.953104,-0.2394,FALSE
2.614631,-1.001084,-0.216342,-0.985699,-0.290254,-0.379975,-1.470317,-1.411941,-0.571873,-0.042941,-0.585752,-1.527607,-0.760167,1.849689,-2.709285,0.4696,1.578405,-1.367937,-0.460814,1.332606,0.541931,FALSE
0.897523,0.000289,0.608736,-0.096194,-0.697756,-1.015632,-0.563509,0.302859,0.079329,-0.646379,-0.68369,-0.450301,0.37173,-1.58468,-1.760699,0.168954,-1.317958,0.763429,-0.849936,0.424803,2.537303,FALSE
0.188951,-0.7629,0.46935,1.354738,-0.356196,-0.676204,10.855069,-0.384708,-0.660656,0.004586,1.559616,-0.842066,-0.610709,-0.869383,-0.649598,-1.157531,-1.634082,-0.66522,-0.982898,0.428941,-0.546894,TRUE
-0.938327,-1.763283,2.151469,-2.507108,-0.791473,-0.875008,-0.085561,-0.41853,-0.584429,2.672853,1.397302,-0.678019,1.70809,0.012331,-0.49728,-0.814781,-0.604749,-0.364167,1.5795,1.07885,-0.641668,TRUE
1.67064,-0.254409,-0.054212,-1.961679,3.665987,-0.853209,-1.519074,-1.085205,-0.720579,0.296784,-1.030456,-0.772601,-0.359618,1.76834,-1.110099,-1.358404,-0.394351,-1.503133,-1.293163,0.956414,-0.268174,FALSE
-0.054485,-1.075873,-1.260421,-1.326409,0.230422,0.387739,-1.5887,-0.241866,-0.30953,1.061404,-0.829927,-0.584735,-0.163594,0.94662,-0.395835,1.376337,0.224505,-0.63877,-1.062566,-0.250363,0.855091,TRUE
-0.122305,-0.58191,-1.10005,-0.961875,-0.524384,-0.267164,-1.528113,-1.034311,0.59502,1.163163,-1.009153,-0.25042,-0.266019,-0.062843,-0.895706,1.672895,1.104722,0.697288,-0.766255,0.375355,0.20268,TRUE
0.976689,-0.668971,-0.951605,-1.863536,3.697532,-0.609551,-1.671165,-1.047664,-2.66731,0.414358,-0.910103,-0.733215,2.652173,1.190974,-0.606171,-0.776717,0.457197,-1.216195,-1.791455,0.312495,-0.344098,TRUE
0.561137,-0.935028,0.402357,-0.732008,-0.224642,-1.705651,0.467262,-0.649447,0.442793,0.213269,0.961678,-1.524077,0.619023,-1.085186,-1.504311,-0.063194,0.037911,0.639446,0.575085,3.691957,-1.394567,FALSE
